standard,webwork,gateway,tutorial,exam
ch0-COM-vecarith,"2|ww1-1,ww1-2,ww1-3",gw1-1,tut1-1-1,
ch0-COM-angle,ww1-4,,,
ch0-CON-vecline,ww1-5,,tut1-2-1,ex1-1-1
ch0-VG-plane,"2|ww1-6,ww1-7,ww1-8",,tut1-3-1,ex1-1-2
ch0-WRIT-sets,,,tut2-1-2,ex1-3-1
ch1-COM-rref,"2|ww2-1,ww2-2,ww2-3",gw1-2,tut2-1-1,
ch1-COM-augset,ww2-5,gw1-3,,
ch1-CON-augsoltype,ww2-4,,tut2-2-1,ex1-2-1
ch1-CON-matlincom,ww2-6,,,
ch1-VG-gslinsys,,,tut2-3-1,ex1-2-2
ch2-COM-matvec,"2|ww2-7,ww2-8",gw1-5,,
ch2-COM-standmat,,gw1-4,tut3-1-1,
ch2-COM-inv,,gw1-6,,
ch2-CON-lintranscheck,,,tut3-2-1,
ch2-VG-unitlintrans,,,tut3-3-1,
chg-WRIT-matnot,,,"tut1-1-1,tut2-1-1,tut3-1-1",
